cell,ix,iy,xc,yc,isFluidCell,isStepSolidCell,nFluid,mass
1,1,1,0.0104166666666667,0.0104166666666667,0,1,0,0
2,2,1,0.03125,0.0104166666666667,0,1,0,0
3,3,1,0.0520833333333333,0.0104166666666667,0,1,0,0
4,4,1,0.0729166666666667,0.0104166666666667,0,1,0,0
5,5,1,0.09375,0.0104166666666667,0,1,0,0
6,6,1,0.114583333333333,0.0104166666666667,0,1,0,0
7,7,1,0.135416666666667,0.0104166666666667,0,1,0,0
8,8,1,0.15625,0.0104166666666667,0,1,0,0
9,9,1,0.177083333333333,0.0104166666666667,0,1,0,0
10,10,1,0.197916666666667,0.0104166666666667,0,1,0,0
11,11,1,0.21875,0.0104166666666667,0,1,0,0
12,12,1,0.239583333333333,0.0104166666666667,0,1,0,0
13,13,1,0.260416666666667,0.0104166666666667,0,1,0,0
14,14,1,0.28125,0.0104166666666667,0,1,0,0
15,15,1,0.302083333333333,0.0104166666666667,0,1,0,0
16,16,1,0.322916666666667,0.0104166666666667,0,1,0,0
17,17,1,0.34375,0.0104166666666667,0,1,0,0
18,18,1,0.364583333333333,0.0104166666666667,0,1,0,0
19,19,1,0.385416666666667,0.0104166666666667,0,1,0,0
20,20,1,0.40625,0.0104166666666667,0,1,0,0
21,21,1,0.427083333333333,0.0104166666666667,0,1,0,0
22,22,1,0.447916666666667,0.0104166666666667,0,1,0,0
23,23,1,0.46875,0.0104166666666667,0,1,0,0
24,24,1,0.489583333333333,0.0104166666666667,0,1,0,0
25,25,1,0.510416666666667,0.0104166666666667,1,0,23,23
26,26,1,0.53125,0.0104166666666667,1,0,22,22
27,27,1,0.552083333333333,0.0104166666666667,1,0,15,15
28,28,1,0.572916666666667,0.0104166666666667,1,0,24,24
29,29,1,0.59375,0.0104166666666667,1,0,9,9
30,30,1,0.614583333333333,0.0104166666666667,1,0,19,19
31,31,1,0.635416666666667,0.0104166666666667,1,0,17,17
32,32,1,0.65625,0.0104166666666667,1,0,20,20
33,33,1,0.677083333333333,0.0104166666666667,1,0,12,12
34,34,1,0.697916666666667,0.0104166666666667,1,0,22,22
35,35,1,0.71875,0.0104166666666667,1,0,13,13
36,36,1,0.739583333333333,0.0104166666666667,1,0,30,30
37,37,1,0.760416666666667,0.0104166666666667,1,0,32,32
38,38,1,0.78125,0.0104166666666667,1,0,17,17
39,39,1,0.802083333333333,0.0104166666666667,1,0,20,20
40,40,1,0.822916666666667,0.0104166666666667,1,0,22,22
41,41,1,0.84375,0.0104166666666667,1,0,23,23
42,42,1,0.864583333333333,0.0104166666666667,1,0,16,16
43,43,1,0.885416666666667,0.0104166666666667,1,0,30,30
44,44,1,0.90625,0.0104166666666667,1,0,28,28
45,45,1,0.927083333333333,0.0104166666666667,1,0,23,23
46,46,1,0.947916666666667,0.0104166666666667,1,0,19,19
47,47,1,0.96875,0.0104166666666667,1,0,10,10
48,48,1,0.989583333333333,0.0104166666666667,1,0,19,19
49,49,1,1.01041666666667,0.0104166666666667,1,0,15,15
50,50,1,1.03125,0.0104166666666667,1,0,28,28
51,51,1,1.05208333333333,0.0104166666666667,1,0,24,24
52,52,1,1.07291666666667,0.0104166666666667,1,0,30,30
53,53,1,1.09375,0.0104166666666667,1,0,27,27
54,54,1,1.11458333333333,0.0104166666666667,1,0,26,26
55,55,1,1.13541666666667,0.0104166666666667,1,0,21,21
56,56,1,1.15625,0.0104166666666667,1,0,29,29
57,57,1,1.17708333333333,0.0104166666666667,1,0,16,16
58,58,1,1.19791666666667,0.0104166666666667,1,0,13,13
59,59,1,1.21875,0.0104166666666667,1,0,25,25
60,60,1,1.23958333333333,0.0104166666666667,1,0,25,25
61,61,1,1.26041666666667,0.0104166666666667,1,0,17,17
62,62,1,1.28125,0.0104166666666667,1,0,19,19
63,63,1,1.30208333333333,0.0104166666666667,1,0,22,22
64,64,1,1.32291666666667,0.0104166666666667,1,0,31,31
65,65,1,1.34375,0.0104166666666667,1,0,12,12
66,66,1,1.36458333333333,0.0104166666666667,1,0,21,21
67,67,1,1.38541666666667,0.0104166666666667,1,0,20,20
68,68,1,1.40625,0.0104166666666667,1,0,24,24
69,69,1,1.42708333333333,0.0104166666666667,1,0,14,14
70,70,1,1.44791666666667,0.0104166666666667,1,0,18,18
71,71,1,1.46875,0.0104166666666667,1,0,20,20
72,72,1,1.48958333333333,0.0104166666666667,1,0,24,24
73,73,1,1.51041666666667,0.0104166666666667,1,0,34,34
74,74,1,1.53125,0.0104166666666667,1,0,15,15
75,75,1,1.55208333333333,0.0104166666666667,1,0,32,32
76,76,1,1.57291666666667,0.0104166666666667,1,0,25,25
77,77,1,1.59375,0.0104166666666667,1,0,25,25
78,78,1,1.61458333333333,0.0104166666666667,1,0,23,23
79,79,1,1.63541666666667,0.0104166666666667,1,0,15,15
80,80,1,1.65625,0.0104166666666667,1,0,15,15
81,81,1,1.67708333333333,0.0104166666666667,1,0,20,20
82,82,1,1.69791666666667,0.0104166666666667,1,0,14,14
83,83,1,1.71875,0.0104166666666667,1,0,22,22
84,84,1,1.73958333333333,0.0104166666666667,1,0,21,21
85,85,1,1.76041666666667,0.0104166666666667,1,0,32,32
86,86,1,1.78125,0.0104166666666667,1,0,34,34
87,87,1,1.80208333333333,0.0104166666666667,1,0,20,20
88,88,1,1.82291666666667,0.0104166666666667,1,0,19,19
89,89,1,1.84375,0.0104166666666667,1,0,25,25
90,90,1,1.86458333333333,0.0104166666666667,1,0,20,20
91,91,1,1.88541666666667,0.0104166666666667,1,0,19,19
92,92,1,1.90625,0.0104166666666667,1,0,30,30
93,93,1,1.92708333333333,0.0104166666666667,1,0,14,14
94,94,1,1.94791666666667,0.0104166666666667,1,0,15,15
95,95,1,1.96875,0.0104166666666667,1,0,22,22
96,96,1,1.98958333333333,0.0104166666666667,1,0,21,21
97,1,2,0.0104166666666667,0.03125,0,1,0,0
98,2,2,0.03125,0.03125,0,1,0,0
99,3,2,0.0520833333333333,0.03125,0,1,0,0
100,4,2,0.0729166666666667,0.03125,0,1,0,0
101,5,2,0.09375,0.03125,0,1,0,0
102,6,2,0.114583333333333,0.03125,0,1,0,0
103,7,2,0.135416666666667,0.03125,0,1,0,0
104,8,2,0.15625,0.03125,0,1,0,0
105,9,2,0.177083333333333,0.03125,0,1,0,0
106,10,2,0.197916666666667,0.03125,0,1,0,0
107,11,2,0.21875,0.03125,0,1,0,0
108,12,2,0.239583333333333,0.03125,0,1,0,0
109,13,2,0.260416666666667,0.03125,0,1,0,0
110,14,2,0.28125,0.03125,0,1,0,0
111,15,2,0.302083333333333,0.03125,0,1,0,0
112,16,2,0.322916666666667,0.03125,0,1,0,0
113,17,2,0.34375,0.03125,0,1,0,0
114,18,2,0.364583333333333,0.03125,0,1,0,0
115,19,2,0.385416666666667,0.03125,0,1,0,0
116,20,2,0.40625,0.03125,0,1,0,0
117,21,2,0.427083333333333,0.03125,0,1,0,0
118,22,2,0.447916666666667,0.03125,0,1,0,0
