Variable environnement,Catégorie,Statut 0286,Type attendu,Défaut implicite,Effet / rôle,Remarques,Sources repérées
MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,false/off sauf scripts 0295+,Active le survey CUDA post-SRC non-mutant du support particulaire.,Écrit cuda_resampling_support_survey_0295.csv; ne modifie pas l’état.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295_EVERY,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,10 ou cadence script,Cadence du survey 0295.,0 ou absent désactive selon script; utilisé après SRC sur grille physique.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295_MODE,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,string,full,"Mode diagnostic: csv_only, sync_only, alloc_only, deposit_only, full.",Utilisé pour bisection VK 0295; pas nécessaire en production.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_MASS_RECONDITION_0296,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,false/off,Active le reconditionnement conservatif des masses sans changement de support.,Post-SRC; conserve masse et impulsion cellulaire.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_MASS_RECONDITION_0296_EVERY,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,10 ou 20,Cadence du reconditionnement de masse 0296.,Utilisé dans les scripts 0296/0303.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_MASS_RECONDITION_0296_STRENGTH,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,1.0,Force du rapprochement des masses vers M_c/N_c.,0 passif; 1 homogénéisation complète dans les cellules traitées.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,false/off,Active le population guard local par split/merge représentatif.,Post-SRC; doit être utilisé avec restauration 0298 en mode actif.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_EVERY,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,20 nominal,Cadence du guard 0297.,Validation backward step: 20.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_NMIN,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,12 nominal,Borne pauvre de population cellulaire.,Triplet nominal validé: 12:20:32.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_NTARGET,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,20 nominal,Population cible.,Doit rester cohérent avec gamma nominal.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_NMAX,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,32 nominal,Borne riche de population cellulaire.,Triplet nominal validé: 12:20:32.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_SPLIT_FRACTION,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,0.5,Fraction de masse prélevée au donneur lors du split représentatif.,Conserve masse et impulsion locale avant restauration énergétique.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,true en guard actif,Active la restauration de l’énergie cinétique relative cellulaire.,Contrôle K_rel après split/merge.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298_MAX_SCALE,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,4.0,Borne du facteur de rescale des vitesses relatives.,Garde-fou contre les corrections thermiques extrêmes.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298_ABS_TOL,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,1e-14,Tolérance absolue de restauration K_rel.,Diagnostic et évitement des divisions par bruit.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298_REL_TOL,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,1e-12,Tolérance relative de restauration K_rel.,Diagnostic et évitement des rescale non significatifs.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_BOUNDARY_AWARE,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,true/on dans scripts 0300+,Active le filtrage boundary-aware des cellules candidates.,Évite de mélanger support-control interne et réservoir hard inlet/outlet.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_OPEN_BOUNDARY_HALO_CELLS,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,1,Épaisseur exclue près des ouvertures.,Nominalement 1 cellule.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_BOUNDARY_HALO_CELLS,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,0,Épaisseur exclue près des parois simples.,0 par défaut pour conserver les zones de cisaillement.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
